Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
P A P U A,SARMI,PANTAI TIMUR BAGIAN BARAT,FINYABOR DUA,TPS 001,158,162,72,30,95,https://sirekap-obj-formc.kpu.go.id/1448/pemilu/ppwp/91/10/14/20/14/9110142014001-20240216-145313--2573bc44-4886-4739-8447-075e7a9b63d0.jpg
P A P U A,SARMI,PANTAI TIMUR BAGIAN BARAT,NENGKE,TPS 002,178,181,36,49,128,https://sirekap-obj-formc.kpu.go.id/1d35/pemilu/ppwp/91/10/14/20/05/9110142005002-20240216-124317--5e4e339e-4e26-4522-9dc3-d2c46e4e5ac7.jpg
P A P U A,SARMI,PANTAI TIMUR BAGIAN BARAT,NENGKE DUA,TPS 001,200,214,24,80,104,https://sirekap-obj-formc.kpu.go.id/7b8f/pemilu/ppwp/91/10/14/20/16/9110142016001-20240216-162608--1081aaaa-debc-46f7-806f-4ee0c2c27ebe.jpg
P A P U A,SARMI,PANTAI TIMUR BAGIAN BARAT,TIMRON/KEDER,TPS 001,155,154,14,24,102,https://sirekap-obj-formc.kpu.go.id/7eed/pemilu/ppwp/91/10/14/20/03/9110142003001-20240216-203656--49c112c7-df1b-4f58-bcc5-b43b0c60e9fe.jpg
P A P U A,SUPIORI,SUPIORI TIMUR,YAWERMA,TPS 001,176,178,15,84,75,https://sirekap-obj-formc.kpu.go.id/907c/pemilu/ppwp/91/19/03/20/01/9119032001001-20240215-002436--003ed940-622f-4c80-84dc-9f275edacb26.jpg
P A P U A,WAROPEN,MASIREI,OBUTAY,TPS 001,111,113,21,41,59,https://sirekap-obj-formc.kpu.go.id/d11b/pemilu/ppwp/91/15/03/20/18/9115032018001-20240217-142611--63f9df4d-7c6f-4b84-8082-f36e3ef69dd4.jpg
P A P U A,WAROPEN,OUDATE,BAINO JAYA,TPS 001,209,213,900,0,0,https://sirekap-obj-formc.kpu.go.id/7b3b/pemilu/ppwp/91/15/11/20/03/9115112003001-20240218-065652--166dbec4-e9a6-4c27-a79e-8b0b7cd152be.jpg
P A P U A,WAROPEN,OUDATE,NAU,TPS 001,181,181,6,82,92,https://sirekap-obj-formc.kpu.go.id/7002/pemilu/ppwp/91/15/11/20/04/9115112004001-20240216-175328--4e210667-06ce-4c81-8b49-df1c56d7c833.jpg
P A P U A,WAROPEN,OUDATE,NAU,TPS 002,179,170,12,68,94,https://sirekap-obj-formc.kpu.go.id/926f/pemilu/ppwp/91/15/11/20/04/9115112004002-20240216-130911--7ad82ae0-5a5a-4376-91a2-be1e2cc5d046.jpg
P A P U A,WAROPEN,OUDATE,SOWIWA,TPS 001,158,158,5,12,139,https://sirekap-obj-formc.kpu.go.id/c057/pemilu/ppwp/91/15/11/20/02/9115112002001-20240217-142158--1fe7aff4-fdec-4e15-abfd-e388564e3707.jpg
P A P U A,WAROPEN,RISEI SAYATI,UNAREU,TPS 001,50,50,3,8,49,https://sirekap-obj-formc.kpu.go.id/2785/pemilu/ppwp/91/15/07/20/19/9115072019001-20240215-164656--05130d27-8fea-40f8-9376-98bd33bfd7ed.jpg
P A P U A,WAROPEN,SOYOI MAMBAI,MAMBAI,TPS 001,69,76,4,21,43,https://sirekap-obj-formc.kpu.go.id/86a9/pemilu/ppwp/91/15/15/20/01/9115152001001-20240216-110023--59b518e2-1d98-432e-a16c-bb88db1a50af.jpg
P A P U A,WAROPEN,SOYOI MAMBAI,SOYOI,TPS 001,121,123,0,0,0,https://sirekap-obj-formc.kpu.go.id/606d/pemilu/ppwp/91/15/15/20/02/9115152002001-20240215-212807--508fe1c9-e128-4708-8a33-c22fe4e7c508.jpg
P A P U A,WAROPEN,UREI FAISEI,APAINABO,TPS 001,171,171,22,53,57,https://sirekap-obj-formc.kpu.go.id/ea05/pemilu/ppwp/91/15/08/20/05/9115082005001-20240216-012540--2c0dd66e-30a9-459f-a6d7-4da1276c1bde.jpg
P A P U A,WAROPEN,UREI FAISEI,APAINABO,TPS 002,192,195,15,48,628,https://sirekap-obj-formc.kpu.go.id/0a79/pemilu/ppwp/91/15/08/20/05/9115082005002-20240215-161344--6ef28d8e-224d-4854-9975-8a318253d857.jpg
P A P U A,WAROPEN,UREI FAISEI,UREIFAISEI I/SANGGAE,TPS 002,757,161,10,73,74,https://sirekap-obj-formc.kpu.go.id/2606/pemilu/ppwp/91/15/08/20/01/9115082001002-20240215-234745--374e85d4-ce18-4e7f-b72b-aedccf1050c8.jpg
P A P U A,WAROPEN,UREI FAISEI,UREIFAISEI I/SANGGAE,TPS 003,164,168,63,64,87,https://sirekap-obj-formc.kpu.go.id/ff81/pemilu/ppwp/91/15/08/20/01/9115082001003-20240215-150711--13f37ab1-6675-49db-a46b-bb7afe539bbf.jpg
P A P U A,WAROPEN,UREI FAISEI,UREIFAISEI III/ PARADOI,TPS 002,189,197,13,5,0,https://sirekap-obj-formc.kpu.go.id/76db/pemilu/ppwp/91/15/08/20/04/9115082004002-20240216-182252--b28d30d5-0ad8-43f0-bc2a-da6deb6855a2.jpg
P A P U A,WAROPEN,WAROPEN BAWAH,BATU ZAMAN,TPS 002,143,144,8,93,44,https://sirekap-obj-formc.kpu.go.id/3c60/pemilu/ppwp/91/15/01/20/27/9115012027002-20240215-122524--c7db8bd6-d35c-440c-874d-07e3ccc9cb8f.jpg
P A P U A,WAROPEN,WAROPEN BAWAH,SAWARA JAYA,TPS 002,172,174,22,225,50,https://sirekap-obj-formc.kpu.go.id/80b4/pemilu/ppwp/91/15/01/20/29/9115012029002-20240216-123652--90de71a4-6f89-4c03-8778-66b56e0172d7.jpg
P A P U A,WAROPEN,WAROPEN BAWAH,WAREN I,TPS 004,200,205,0,0,0,https://sirekap-obj-formc.kpu.go.id/7fb9/pemilu/ppwp/91/15/01/20/03/9115012003004-20240216-003805--e52b1e8d-fed2-481b-874c-dea8a53864ac.jpg
