Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
GORONTALO,KOTA GORONTALO,KOTA BARAT,LEKOBALO,TPS 010,226,233,54,150,12,https://sirekap-obj-formc.kpu.go.id/535b/pemilu/ppwp/75/71/01/10/02/7571011002010-20240214-231412--891c5837-524f-45af-ab68-28430033eef9.jpg
GORONTALO,KOTA GORONTALO,KOTA TENGAH,PULUBALA,TPS 005,218,220,94,144,10,https://sirekap-obj-formc.kpu.go.id/0070/pemilu/ppwp/75/71/06/10/04/7571061004005-20240214-184725--222dc249-0b3b-4324-a05c-7bb3b1ae250e.jpg
GORONTALO,KOTA GORONTALO,KOTA TIMUR,MOODU,TPS 003,258,261,88,151,18,https://sirekap-obj-formc.kpu.go.id/84bd/pemilu/ppwp/75/71/05/10/08/7571051008003-20240215-233551--b43a8c1a-bc47-40ad-8ff2-0837b27fe4db.jpg
GORONTALO,KOTA GORONTALO,KOTA UTARA,DEMBE JAYA,TPS 001,228,235,111,19,5,https://sirekap-obj-formc.kpu.go.id/cd61/pemilu/ppwp/75/71/03/10/15/7571031015001-20240217-113011--847e6586-4c89-4345-bf62-3e90bac70227.jpg
GORONTALO,KOTA GORONTALO,KOTA UTARA,DEMBE JAYA,TPS 005,220,223,110,104,9,https://sirekap-obj-formc.kpu.go.id/131c/pemilu/ppwp/75/71/03/10/15/7571031015005-20240215-034037--9bba7e0b-6987-4b55-9d55-dca11edf2599.jpg
GORONTALO,KOTA GORONTALO,KOTA UTARA,WONGKADITI BARAT,TPS 001,259,261,117,129,43,https://sirekap-obj-formc.kpu.go.id/f25f/pemilu/ppwp/75/71/03/10/05/7571031005001-20240215-072713--99e0381d-1ab8-4591-ba22-74c7460c1e70.jpg
GORONTALO,KOTA GORONTALO,KOTA UTARA,WONGKADITI TIMUR,TPS 008,230,234,48,174,7,https://sirekap-obj-formc.kpu.go.id/b6d0/pemilu/ppwp/75/71/03/10/04/7571031004008-20240216-142944--6c0cca58-b7fd-45aa-b1d1-e1d9d93bd9f9.jpg
GORONTALO,KOTA GORONTALO,SIPATANA,TAPA,TPS 007,235,236,52,156,17,https://sirekap-obj-formc.kpu.go.id/c437/pemilu/ppwp/75/71/07/10/02/7571071002007-20240216-044908--a454c040-cfac-4b1b-bf57-4b03fa7491c5.jpg
GORONTALO,POHUWATO,DUHIADAA,BULILI,TPS 007,209,209,50,152,4,https://sirekap-obj-formc.kpu.go.id/af9e/pemilu/ppwp/75/04/10/20/01/7504102001007-20240215-043348--778f2f85-b59f-49a9-a7e6-192fa06b6a53.jpg
GORONTALO,POHUWATO,DUHIADAA,BUNTULIA SELATAN,TPS 002,216,219,83,125,7,https://sirekap-obj-formc.kpu.go.id/e14a/pemilu/ppwp/75/04/10/20/03/7504102003002-20240216-132603--c33d29b6-9b14-4701-9283-5069526f55f2.jpg
GORONTALO,POHUWATO,LEMITO,LEMITO UTARA,TPS 005,0,0,54,198,6,https://sirekap-obj-formc.kpu.go.id/cd6d/pemilu/ppwp/75/04/02/20/08/7504022008005-20240214-160115--cf699cfa-64bb-4f3d-88db-9dfb19de1386.jpg
