Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAMBI, KERINCI,KAYU ARO,KERSIK TUO,TPS 005,213,217,20,150,39,https://sirekap-obj-formc.kpu.go.id/cf66/pemilu/ppwp/15/01/09/20/12/1501092012005-20240216-150348--7e479ff7-8937-46b4-9f5a-3191ea8d135d.jpg
JAMBI, KERINCI,KAYU ARO,MEKAR JAYA,TPS 002,242,245,18,776,37,https://sirekap-obj-formc.kpu.go.id/135b/pemilu/ppwp/15/01/09/20/45/1501092045002-20240216-002638--83d0aeb5-6df6-4d19-a01c-799a1266eb89.jpg
JAMBI, KERINCI,KAYU ARO,MEKAR JAYA,TPS 005,225,705,23,159,44,https://sirekap-obj-formc.kpu.go.id/afd4/pemilu/ppwp/15/01/09/20/45/1501092045005-20240214-155201--7ec3ce5c-2c62-468c-b24d-42c660e5209e.jpg
JAMBI, KERINCI,KAYU ARO BARAT,GUNUNGLABU,TPS 002,209,210,171,171,21,https://sirekap-obj-formc.kpu.go.id/899f/pemilu/ppwp/15/01/19/20/12/1501192012002-20240216-120810--cc16a4d6-26fd-4988-b0e3-7a27899fb5c7.jpg
JAMBI, KERINCI,KAYU ARO BARAT,PASAR MINGGU,TPS 003,224,226,15,160,41,https://sirekap-obj-formc.kpu.go.id/58d8/pemilu/ppwp/15/01/19/20/16/1501192016003-20240216-115631--242089a4-b608-4d54-a4d5-e165a3a2af79.jpg
JAMBI, KERINCI,KAYU ARO BARAT,SAKO DUO,TPS 001,218,223,29,181,28,https://sirekap-obj-formc.kpu.go.id/9e75/pemilu/ppwp/15/01/19/20/05/1501192005001-20240216-010748--b947c99a-d9cb-443b-8101-c68fa248c2f9.jpg
JAMBI, KERINCI,SITINJAU LAUT,ANGKASA PURA,TPS 001,279,287,98,176,8,https://sirekap-obj-formc.kpu.go.id/b9d0/pemilu/ppwp/15/01/04/20/30/1501042030001-20240216-091426--e2e0db0c-134b-4a9e-90b9-5078ead51290.jpg
JAMBI, KERINCI,SITINJAU LAUT,HIANG SAKTI,TPS 001,163,165,62,94,3,https://sirekap-obj-formc.kpu.go.id/3387/pemilu/ppwp/15/01/04/20/31/1501042031001-20240215-025253--670e069a-bca0-4723-b3e6-87e2c80e63b0.jpg
JAMBI, KERINCI,SITINJAU LAUT,PENAWAR TINGGI,TPS 001,147,152,54,89,0,https://sirekap-obj-formc.kpu.go.id/7dcd/pemilu/ppwp/15/01/04/20/34/1501042034001-20240214-213256--e834ee77-de75-446f-841c-7ebf9e3627f3.jpg
JAMBI, KERINCI,SITINJAU LAUT,TANJUNGMUDO,TPS 002,288,289,138,148,4,https://sirekap-obj-formc.kpu.go.id/f5cc/pemilu/ppwp/15/01/04/20/10/1501042010002-20240216-140639--06bfe9f9-090b-4f0e-84cf-cf5a5f80a4b7.jpg
JAMBI, KERINCI,SIULAK MUKAI,TALANG TINGGI,TPS 001,195,204,40,149,10,https://sirekap-obj-formc.kpu.go.id/a27b/pemilu/ppwp/15/01/18/20/12/1501182012001-20240216-165747--9a7873a8-398b-4b35-8ba9-7db982aaf1c1.jpg
JAMBI, MERANGIN,BANGKO,DUSUN BANGKO,TPS 007,0,0,35,150,14,https://sirekap-obj-formc.kpu.go.id/d7dc/pemilu/ppwp/15/02/02/10/11/1502021011007-20240214-213209--bee8b13d-7a96-4ee6-beeb-b22dec87eb16.jpg
